f_names,l_names,jobs,age,salary
Stefan,Wodecki,HR,30,11650
Eren,Wodecki,TSL,30,4000
Hang,Wodecki,WMS,20,5700
Tobias,Kenny,UX,30,7400
Eren,Kenny,HR,20,11650
Eren,Walker,IT,30,4850
Hang,Marius,UX,25,5700
Mercury,Kenny,UX,35,4000
Hang,Kenny,TSL,25,5700
Stefan,Walker,UX,35,7400
Hang,Kenny,HR,20,9100
Tobias,Wodecki,HR,30,6550
Mercury,Kenny,IT,30,6550
Eren,Walker,HR,35,5700
Eren,Wodecki,UX,35,5700
Hang,Walker,IT,30,8250
Hang,Walker,HR,35,9100
Hang,Kenny,HR,35,11650
Tobias,Walker,IT,30,4000
Mercury,Marius,TSL,20,11650
Stefan,Wodecki,UX,25,9950
Stefan,Wodecki,TSL,30,11650
Eren,Wodecki,HR,30,5700
Stefan,Wodecki,WMS,20,9100
Mercury,Kenny,WMS,25,10800
Eren,Walker,WMS,35,4850
Tobias,Marius,HR,30,4000
Stefan,Wodecki,HR,30,5700
Eren,Walker,HR,20,8250
Eren,Wodecki,WMS,25,8250
Mercury,Kenny,UX,20,8250
Mercury,Kenny,IT,25,8250
Hang,Kenny,IT,30,4850
Tobias,Kowalski,IT,30,7400
Hang,Kowalski,IT,35,8250
Tobias,Kowalski,WMS,35,4000
Eren,Kowalski,TSL,35,7400
Eren,Walker,IT,20,7400
Mercury,Marius,WMS,25,9100
Eren,Wodecki,WMS,25,9100
Eren,Kowalski,IT,20,8250
Hang,Kenny,IT,20,4850
Mercury,Marius,TSL,35,6550
Stefan,Wodecki,IT,25,4000
Hang,Walker,WMS,35,11650
Tobias,Marius,TSL,35,5700
Eren,Walker,UX,25,6550
Hang,Kowalski,IT,25,10800
Tobias,Marius,WMS,35,4000
Eren,Marius,UX,35,11650
Mercury,Kowalski,TSL,30,4000
Mercury,Kenny,IT,25,9100
Stefan,Kenny,HR,25,4000
Stefan,Wodecki,TSL,35,4850
Stefan,Walker,WMS,25,4850
Stefan,Kenny,UX,25,11650
Stefan,Wodecki,UX,25,4850
Hang,Kenny,WMS,35,8250
Hang,Wodecki,WMS,35,5700
Mercury,Marius,UX,30,6550
Tobias,Kowalski,WMS,30,9100
Hang,Wodecki,IT,30,6550
Stefan,Wodecki,UX,35,6550
Tobias,Kowalski,WMS,35,10800
Stefan,Marius,UX,25,11650
Eren,Walker,WMS,20,6550
Eren,Kenny,UX,35,4000
Eren,Marius,WMS,35,11650
Eren,Kenny,IT,25,6550
Mercury,Wodecki,TSL,35,4850
Eren,Kenny,UX,30,7400
Stefan,Marius,WMS,25,4850
Tobias,Walker,IT,35,5700
Eren,Wodecki,WMS,35,7400
Hang,Wodecki,WMS,30,9950
Hang,Walker,WMS,20,6550
Tobias,Kenny,TSL,20,4000
Tobias,Kenny,TSL,25,6550
Mercury,Kowalski,UX,30,11650
Mercury,Walker,IT,25,4850
Hang,Kowalski,IT,35,4000
Mercury,Kenny,IT,30,5700
Mercury,Walker,IT,30,9950
Mercury,Walker,UX,35,9950
Tobias,Wodecki,WMS,30,10800
Mercury,Kowalski,IT,20,10800
Hang,Kenny,UX,35,4850
Tobias,Kenny,TSL,30,8250
Eren,Walker,UX,35,10800
Hang,Marius,TSL,20,9950
Tobias,Kenny,WMS,30,11650
Mercury,Walker,TSL,30,7400
Stefan,Kenny,WMS,35,4000
Eren,Kowalski,HR,35,10800
Eren,Marius,TSL,20,9100
Eren,Walker,TSL,25,10800
Tobias,Walker,HR,30,9950
Hang,Marius,IT,20,8250
Mercury,Kowalski,IT,30,5700
Hang,Walker,WMS,25,8250
